Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2014,2015,2016,2017,2018,2019
Genome-wide tests for introgression between cactophilic Drosophila implicate a role of inversions during speciation,"Lohse, Konrad; Clarke, Magnus; Ritchie, Michael G.; Etges, William J.",,,,EVOLUTION,MAY 2015,2015,69,5,,,,1178,1190,,10.1111/evo.12650,,,26,6.5,0,1,9,12,4,0
Microencapsulation of betalains obtained from cactus fruit (Opuntia ficus-indica) by spray drying using cactus cladode mucilage and maltodextrin as encapsulating agents,"Carolina Otalora, Maria; Gregorio Carriazo, Jose; Iturriaga, Laura; Azucena Nazareno, Monica; Osorio, Coralia",,,,FOOD CHEMISTRY,NOV 15 2015,2015,187,,,,,174,181,,10.1016/j.foodchem.2015.04.090,,,25,6.25,0,0,6,6,13,0
Rain-induced Ejection of Pathogens from Leaves: Revisiting the Hypothesis of Splash-on-Film using High-speed Visualization,"Gilet, Tristan; Bourouiba, Lydia",,,,INTEGRATIVE AND COMPARATIVE BIOLOGY,DEC 2014,2014,54,6,,,,974,984,,10.1093/icb/icu116,"Symposium on Shaking, Dripping, and Drinking - Surface Tension Phenomena in Organismal Biology at the Annual Meeting of the Society-for-Integrative-and-Comparative-Biology","JAN 03-07, 2014",20,4,1,3,4,4,8,0
Use of gelatin-maltodextrin composite as an encapsulation support for clarified juice from purple cactus pear (Opuntia stricta),"Castro-Munoz, Roberto; Barragan-Huerta, Blanca E.; Yanez-Fernandez, Jorge",,,,LWT-FOOD SCIENCE AND TECHNOLOGY,JUN 2015,2015,62,1,1,,,242,248,,10.1016/j.lwt.2014.09.042,,,12,3,0,1,3,3,5,0
Adaptability in Stone Tool Use by Wild Capuchin Monkeys (Sapajus libidinosus),"Caldas De Moraes, Barbara Lins; Souto, Antonio Da Silva; Schiel, Nicola",,,,AMERICAN JOURNAL OF PRIMATOLOGY,OCT 2014,2014,76,10,,,,967,977,,10.1002/ajp.22286,,,12,2.4,1,0,3,4,4,0
"The tale of the shrinking weapon: seasonal changes in nutrition affect weapon size and sexual dimorphism, but not contemporary evolution","Miller, C. W.; McDonald, G. C.; Moore, A. J.",,,,JOURNAL OF EVOLUTIONARY BIOLOGY,NOV 2016,2016,29,11,,,,2266,2275,,10.1111/jeb.12954,,,9,3,0,0,0,6,3,0
Internal seed dispersal by parrots: an overview of a neglected mutualism,"Blanco, Guillermo; Bravo, Carolina; Pacifico, Erica C.; Chamorro, Daniel; Speziale, Karina L.; Lambertucci, Sergio A.; Hiraldo, Fernando; Tella, Jose L.",,,,PEERJ,FEB 22 2016,2016,4,,,,,,,UNSP e1688,10.7717/peerj.1688,,,9,3,0,0,1,4,4,0
PHYSICAL AND CHEMICAL CHARACTERISTICS OF CACTUS STEMS (Opuntia ficus-indica) FOR EXPORTATION AND DOMESTIC MARKETS,"Maki-Diaz, Griselda; Pena-Valdivia, Cecilia B.; Garcia-Nava, Rodolfo; Lourdes Arevalo-Galarza, M.; Calderon-Zavala, Guillermo; Anaya-Rosales, Socorro",,,,AGROCIENCIA,JAN-FEB 2015,2015,49,1,,,,31,51,,,,,7,1.75,0,2,2,1,2,0
"Flowering phenology, fruit set and seed mass and number of five coexisting Gymnocalycium (Cactaceae) species from Cordoba Mountain, Argentina","Giorgis, Melisa A.; Cingolani, Ana M.; Gurvich, Diego E.; Astegiano, Julia",,,,JOURNAL OF THE TORREY BOTANICAL SOCIETY,JUL 2015,2015,142,3,,,,220,230,,10.3159/TORREY-D-14-00017.1,,,6,1.5,0,0,0,3,3,0
"Seasonal resource value and male size influence male aggressive interactions in the leaf footed cactus bug, Narnia femorata","Nolen, Zachary J.; Allen, Pablo E.; Miller, Christine W.",,,,BEHAVIOURAL PROCESSES,MAY 2017,2017,138,,,,,1,6,,10.1016/j.beproc.2017.01.020,,,5,2.5,0,0,0,2,3,0
