ID,title,authors,source.title,publication.year,exclude,category,detailed.reason,notes,,
1,Genome-wide tests for introgression between cactophilic Drosophila implicate a role of inversions during speciation,"Lohse, Konrad; Clarke, Magnus; Ritchie, Michael G.; Etges, William J.",EVOLUTION,2015,y,title,not cacti,,,not cacti > not fruit > not allocation
2,Microencapsulation of betalains obtained from cactus fruit (Opuntia ficus-indica) by spray drying using cactus cladode mucilage and maltodextrin as encapsulating agents,"Carolina Otalora, Maria; Gregorio Carriazo, Jose; Iturriaga, Laura; Azucena Nazareno, Monica; Osorio, Coralia",FOOD CHEMISTRY,2015,y,title,not fruit,,,
3,Rain-induced Ejection of Pathogens from Leaves: Revisiting the Hypothesis of Splash-on-Film using High-speed Visualization,"Gilet, Tristan; Bourouiba, Lydia",INTEGRATIVE AND COMPARATIVE BIOLOGY,2014,y,title,not fruit,,,
4,Use of gelatin-maltodextrin composite as an encapsulation support for clarified juice from purple cactus pear (Opuntia stricta),"Castro-Munoz, Roberto; Barragan-Huerta, Blanca E.; Yanez-Fernandez, Jorge",LWT-FOOD SCIENCE AND TECHNOLOGY,2015,y,title,not allocation,,,
5,Adaptability in Stone Tool Use by Wild Capuchin Monkeys (Sapajus libidinosus),"Caldas De Moraes, Barbara Lins; Souto, Antonio Da Silva; Schiel, Nicola",AMERICAN JOURNAL OF PRIMATOLOGY,2014,y,title,not cacti,,,
6,"The tale of the shrinking weapon: seasonal changes in nutrition affect weapon size and sexual dimorphism, but not contemporary evolution","Miller, C. W.; McDonald, G. C.; Moore, A. J.",JOURNAL OF EVOLUTIONARY BIOLOGY,2016,y,abstract,not cacti,,,
7,Internal seed dispersal by parrots: an overview of a neglected mutualism,"Blanco, Guillermo; Bravo, Carolina; Pacifico, Erica C.; Chamorro, Daniel; Speziale, Karina L.; Lambertucci, Sergio A.; Hiraldo, Fernando; Tella, Jose L.",PEERJ,2016,y,title,not allocation,,,
8,PHYSICAL AND CHEMICAL CHARACTERISTICS OF CACTUS STEMS (Opuntia ficus-indica) FOR EXPORTATION AND DOMESTIC MARKETS,"Maki-Diaz, Griselda; Pena-Valdivia, Cecilia B.; Garcia-Nava, Rodolfo; Lourdes Arevalo-Galarza, M.; Calderon-Zavala, Guillermo; Anaya-Rosales, Socorro",AGROCIENCIA,2015,y,abstract,not fruit,,,
9,"Flowering phenology, fruit set and seed mass and number of five coexisting Gymnocalycium (Cactaceae) species from Cordoba Mountain, Argentina","Giorgis, Melisa A.; Cingolani, Ana M.; Gurvich, Diego E.; Astegiano, Julia",JOURNAL OF THE TORREY BOTANICAL SOCIETY,2015,y,full text,does not report values of interest,,,
10,"Seasonal resource value and male size influence male aggressive interactions in the leaf footed cactus bug, Narnia femorata","Nolen, Zachary J.; Allen, Pablo E.; Miller, Christine W.",BEHAVIOURAL PROCESSES,2017,y,title,not cacti,,,
